title,miles,location,price,url
2022 GMC Sierra Denali,,,"$37,990",https://cars.ksl.com/listing/10279857
2020 Chevrolet Silverado 2500HD LTZ,,,"$37,548",https://cars.ksl.com/listing/10321860
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,750",https://cars.ksl.com/listing/10368459
2013 GMC 2500 SLT,,,"$22,777",https://cars.ksl.com/listing/10350883
2026 Chevrolet Silverado 2500HD LT,,,"$61,635",https://cars.ksl.com/listing/10368415
2022 GMC Sierra AT4,"51,304 Miles","Burley, ID","$39,999",https://cars.ksl.com/listing/10285817
2020 Chevrolet Silverado 2500HD,"215,000 Miles","Nephi, UT","$18,950",https://cars.ksl.com/listing/10223979
2012 Chevrolet Silverado 2500HD LT,"210,692 Miles","Salt Lake City, UT","$9,499",https://cars.ksl.com/listing/10410322
2022 GMC Sierra Denali,"58,512 Miles","American Fork, UT","$39,676",https://cars.ksl.com/listing/10367913
2020 Chevrolet Silverado 2500HD LT,,,"$34,446",https://cars.ksl.com/listing/10338900
2024 Chevrolet Silverado 2500HD LT,,,"$48,300",https://cars.ksl.com/listing/10173086
2002 Chevrolet Silverado 2500HD LT,,,"$18,995",https://cars.ksl.com/listing/10331604
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410286
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410285
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410284
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410282
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410281
2026 Chevrolet Silverado 2500HD Work Truck,7 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410280
2026 Chevrolet Silverado 2500HD Work Truck,7 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410278
2026 Chevrolet Silverado 2500HD Work Truck,"Salt Lake City, UT",| 4 Hours,"$57,214",https://cars.ksl.com/listing/10410275
2022 GMC Sierra Denali,,,"$37,990",https://cars.ksl.com/listing/10279857
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410274
2026 Chevrolet Silverado 2500HD Work Truck,4 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410271
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410270
2026 Chevrolet Silverado 2500HD Custom,"Salt Lake City, UT",| 4 Hours,"$56,242",https://cars.ksl.com/listing/10410268
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10410267
2024 Chevrolet Silverado 2500HD LT,,,"$54,500",https://cars.ksl.com/listing/10327965
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"South Jordan, UT","$53,438",https://cars.ksl.com/listing/10388485
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"South Jordan, UT","$53,438",https://cars.ksl.com/listing/10388484
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"South Jordan, UT","$53,085",https://cars.ksl.com/listing/10388483
2024 Chevrolet Silverado 2500HD LT,,,"$48,300",https://cars.ksl.com/listing/10173086
2024 Chevrolet Silverado 2500HD Work Truck,"41,978 Miles","Boise, ID","$44,994",https://cars.ksl.com/listing/10359744
2020 GMC 2500 Denali,,,"$47,995",https://cars.ksl.com/listing/10368195
2022 GMC Sierra Elevation,"78,309 Miles","Brigham City, UT","$32,030",https://cars.ksl.com/listing/10388451
2022 GMC 2500 SLE,,,"$32,995",https://cars.ksl.com/listing/10086996
